Scopus Author Ids,Authors
 55763633400,"[' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.', ' Fontes, A.I.R.']"
 55826531700,"[' Teixeira, C.', ' Teixeira, C.']"
 55851946978,"[' Rodríguez, G.', ' Rodríguez, G.']"
 55884135100,"[' Distante, C.', ' Distante, C.', ' Distante, C.', ' Distante, C.', ' Distante, C.', ' Distante, C.', ' Distante, C.', ' Distante, C.', ' Distante, C.']"
 55908415500,"[' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.', ' Neto, V.P.S.']"
 55926512000,"[' Dantas, J.B.D.', ' Dantas, J.B.D.', ' Dantas, J.B.D.', ' Dantas, J.B.D.', ' Dantas, J.B.D.', ' Dantas, J.B.D.', ' Dantas, J.B.D.', ' Dantas, J.B.D.']"
 55939576900,"[' Dantas, K.M.', ' Dantas, K.M.', ' Dantas, K.M.C.', ' Dantas, K.M.C.']"
 55939643500,"[' Unrein, F.', ' Unrein, F.', ' Unrein, F.', ' Unrein, F.', ' Unrein, F.']"
 55947364100,"[' Mladenović, N.', ' Mladenović, N.', ' Mladenović, N.', ' Mladenović, N.', ' Mladenović, N.', ' Mladenović, N.', ' Mladenović, N.', ' Mladenović, N.', ' Mladenovic, N.', ' Mladenović, N.', ' Mladenović, N.', ' Mladenović, N.', ' Mladenović, N.']"
 56027748600,"[' Araujo, A.', ' Araujo, A.', ' Araujo, A.']"
 56028590400,"[' Linhares, L.L.S.', ' Linhares, L.L.S.', ' Linhares, L.L.S.', ' Linhares, L.L.S.']"
 56131277200,"[' Negreiros, A.P.F.', ' Negreiros, A.P.F.', ' Negreiros, A.P.F.', ' Negreiros, A.P.F.', ' Negreiros, A.P.F.', ' Negreiros, A.P.F.', ' Negreiros, A.', ' Negreiros, A.', ' Negreiros, A.', ' de Negreiros, A.P.F.', ' de Negreiros, A.P.F.', ' de Negreiros, A.P.F.', ' de Negreiros, A.P.F.', ' de Negreiros, A.P.F.', ' de Negreiros, A.P.F.', ' De Negreiros, Á.P.F.', ' De Negreiros, Á.P.F.', ' De Negreiros, Á.P.F.', ' De Negreiros, Á.P.F.', ' De Negreiros, Á.P.F.', ' De Negreiros, Á.P.F.', ' Negreiros, A.P.F.', ' Negreiros, A.P.F.', ' Negreiros, A.P.F.', ' Negreiros, A.P.F.']"
 56231906400,"[' Vieira, R.D.', ' Vieira, R.D.']"
 56249553100,"[' Souza, B.A.']"
 56363591700,"[' Silveira, L.F.', ' Silveira, L.F.', ' Silveira, L.F.Q.', ' Silveira, L.F.Q.', ' Silveira, L.F.Q.', ' Silveira, L.F.Q.', ' Silveira, L.F.Q.', ' Silveira, L.F.Q.', ' Silveira, L.F.Q.', ' Silveira, L.F.Q.', ' Silveira, L.F.Q.', ' Silveira, L.F.Q.']"
 56402497700,"[' Silva, S.N.', ' Silva, S.N.', ' Silva, S.N.', ' Silva, S.N.', ' Silva, S.N.', ' Silva, S.N.']"
 56439013400,"[' Souza, F.E.C.', ' Souza, F.E.C.', ' Souza, F.E.C.', ' Souza, F.E.C.', ' Souza, F.E.C.', ' Souza, F.E.C.', ' Souza, F.E.C.', ' Souza, F.E.C.']"
 56509497100,"[' Saguna, S.', ' Saguna, S.', ' Saguna, S.', ' Saguna, S.', ' Saguna, S.', ' Saguna, S.', ' Saguna, S.', ' Saguna, S.', ' Saguna, S.', ' Saguna, S.']"
 56520939100,"[' Araújo, M.V.', ' Araújo, M.V.', ' Araújo, M.V.', ' Araújo, M.V.']"
 56521226700,"[' Melo, N.B.', ' Melo, N.B.', ' Melo, N.B.', ' Melo, N.B.']"
 56531999700,"[' Tonidandel, F.', ' Tonidandel, F.', ' Tonidandel, F.']"
 56540943100,"[' Morais, P.S.G.', ' Morais, P.S.G.', ' Morais, P.S.G.', ' Morais, P.S.G.']"
 56587568900,"[' Quiroga, M.V.', ' Quiroga, M.V.', ' Quiroga, M.V.', ' Quiroga, M.V.', ' Quiroga, M.V.']"
 56597608500,"[' Alves, D.K.', ' Alves, D.K.', ' Alves, D.K.', ' Alves, D.K.', ' Alves, D.K.', ' Alves, D.K.', ' Alves, D.K.', ' Alves, D.K.']"
 56597645600,"[' Paiva, S.C.', ' Paiva, S.C.']"
 56649607000,"[' Barbosa, R.M.', ' Barbosa, R.M.', ' Barbosa, R.M.', ' Barbosa, R.M.', ' Barbosa, R.M.', ' Barbosa, R.M.']"
 56682493500,"[' Campos, J.T.L.S.', ' Campos, J.T.L.S.', ' Campos, J.T.L.S.']"
 56682611600,"[' De Medeiros, R.P.', ' De Medeiros, R.P.', ' Medeiros, R.P.', ' Medeiros, R.P.']"
 56702327300,"[' Rego, J.B.A.', ' Rego, J.B.A.', ' Rego, J.B.A.', ' Rego, J.B.A.', ' Rego, J.B.A.', ' Rego, J.B.A.', ' Rego, J.B.A.', ' Rego, J.B.A.', ' Rego, J.B.A.']"
 56714995900,"[' Meier, A.', ' Meier, A.']"
 56732313200,"[' Santos, A.', ' Santos, A.']"
 56782204400,"[' Datta, B.N.', ' Datta, B.N.', ' Datta, B.N.', ' Datta, B.N.', ' Datta, B.N.', ' Datta, B.N.', ' Datta, B.N.', ' Datta, B.N.', ' Datta, B.N.', ' Datta, B.N.', ' Datta, B.N.', ' Datta, B.N.']"
 56785754800,"[' Rommel, S.']"
 56804318900,"[' de Oliveira, Á.V.F.M.', ' de Oliveira, Á.V.F.M.', ' de Oliveira, Á.V.F.M.', ' de Oliveira, Á.V.F.M.', ' de Oliveira, Á.V.F.M.']"
 56839379300,"[' Fernandez, J.M.', ' Fernandez, J.M.']"
 56979016700,"[' Blackmore, C.', ' Blackmore, C.']"
 57126459700,"[' Ging, D.', ' Ging, D.', ' Ging, D.', ' Ging, D.']"
 57148127100,"[' Montalvão, A.C.P.S.', ' Montalvão, A.C.P.S.', ' Montalvão, A.C.P.S.', ' Montalvão, A.C.P.S.']"
 57150810600,"[' Georgiou, K.', ' Georgiou, K.', ' Georgiou, K.']"
 57183701000,"[' De Almeida, M.A.D.', ' De Almeida, M.A.D.']"
 57188874568,"[' Carlos, V.', ' Carlos, V.', ' Carlos, V.', ' Carlos, V.', ' Carlos, V.']"
 57189003352,"[' Jamborsalamati, P.', ' Jamborsalamati, P.']"
